Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2019,Darrell Henderson,Memphis,RB,68,208,8.63,31,,4.49,22,33.5,121,9.99,9.99,
2019,Nate Herbig,Stanford,OG,75,335,10.13,33.25,,5.41,29,24,90,8.15,5.04,
2019,Karan Higdon,Michigan,RB,69,206,9.63,30.75,,4.49,21,34,123,9.99,9.99,
2019,Justice Hill,Oklahoma State,RB,70,198,9.5,31.63,,4.4,21,40,130,9.99,9.99,
2019,Trysten Hill,Central Florida,DT,75,308,10.25,33.38,,5.04,28,35,115,7.7,4.38,
2019,T.J. Hockenson,Iowa,TE,77,251,9.5,32.25,,4.7,17,37.5,123,7.02,4.18,11.55
2019,Alijah Holder,Stanford,CB,73,191,9.5,32.5,,4.6,9,36,121,6.7,4.15,
2019,Justin Hollins,Oregon,EDG,77,248,10.38,33.38,,4.5,25,36.5,119,7.06,4.4,11.94
2019,Elijah Holyfield,Georgia,RB,70,217,9,30.38,,4.78,26,29.5,118,9.99,9.99,
2019,Travis Homer,Miami (FL),RB,70,201,10,31.5,,4.48,17,39.5,130,7.07,4.31,
2019,Amani Hooker,Iowa,S,71,210,9.13,30.13,,4.48,14,37,123,6.81,4.1,11.59
2019,Albert Huggins,Clemson,DT,75,305,10.63,33.5,,5.12,35,25.5,101,7.84,4.84,
2019,Lil'Jordan Humphrey,Texas,WR,76,210,9.5,32.75,,4.75,13,33.5,119,7.09,4.29,
2019,Jalen Hurd,Baylor,WR,77,226,10.25,32,,9.99,23,,,9.99,9.99,
2019,Alec Ingold,Wisconsin,FB,73,242,9.63,31.5,,4.89,16,34,116,7.35,4.32,
2019,Andy Isabella,Massachusetts,WR,69,188,8.38,29.75,,4.31,15,36.5,121,6.95,4.15,
2019,Martez Ivey,Florida,OG,77,315,10.38,36.25,,9.99,,,,9.99,9.99,
2019,Joe Jackson,Miami (FL),DE,76,275,10,34.13,,9.99,22,27,109,9.99,9.99,
2019,Mike Jackson,Miami (FL),CB,73,210,9.75,32.5,,4.45,13,40.5,130,7.12,4.12,
2019,Tyree Jackson,Buffalo,QB,79,249,10.25,34.25,,4.59,,34.5,120,7.09,4.28,
2019,Josh Jacobs,Alabama,RB,70,220,10.13,31.63,,9.99,,,,9.99,9.99,
2019,CeCe Jefferson,Florida,DE,73,266,9.63,33.63,,5.02,17,30.5,108,7.5,4.53,
2019,Jalen Jelks,Oregon,EDG,77,256,9.63,34.63,,4.92,19,32.5,113,7.22,4.59,
2019,Elgton Jenkins,Mississippi State,OL,76,310,10.25,34,,9.99,29,28,109,7.77,4.62,
2019,Gary Jennings,West Virginia,WR,73,214,9.63,32.5,,4.42,20,37,127,7.32,4.15,
2019,Anthony Johnson,Buffalo,WR,74,209,9.38,31.38,,9.99,18,32.5,122,7.12,9.99,
2019,Darryl Johnson,North Carolina A&T,EDG,78,253,10,33.88,,9.99,20,,,9.99,9.99,
2019,Diontae Johnson,Toledo,WR,70,183,9,30.75,,4.53,15,33.5,123,7.09,4.45,
2019,Fred Johnson,Florida,OL,79,326,10.63,34,,9.99,,,,9.99,9.99,
2019,Gary Johnson,Texas,LB,72,226,10.25,31.25,,4.43,16,33.5,121,7.15,4.57,
2019,Isaiah Johnson,Houston,CB,74,208,8.75,33,,4.4,,36.5,133,6.81,4.06,
2019,Jaquan Johnson,Miami (FL),S,70,191,8.75,29.63,,4.69,18,33,121,9.99,9.99,
2019,KeeSean Johnson,Frenso State (CA),WR,73,201,9.5,32,,4.6,14,30,117,7.28,4.23,
2019,Lonnie Johnson,Kentucky,CB,74,213,9.13,32.63,,4.52,15,38,129,7.01,4.1,
2019,Daniel Jones,Duke,QB,77,221,9.75,32.5,,4.81,,33.5,120,7,4.41,
2019,Dre'Mont Jones,Ohio State,DT,75,281,9.63,33.75,,5.12,,31.5,110,7.71,4.53,
2019,Jordan Jones,Kentucky,LB,74,234,9,31.75,,4.62,23,32.5,123,9.99,4.37,
2019,Kendall Joseph,Clemson,LB,72,233,9.75,31.63,,9.99,25,,,9.99,9.99,
2019,Vosean Joseph,Florida,LB,73,230,9.63,31.38,,9.99,,,,9.99,9.99,
2019,Kingsley Keke,Texas A&M,DE,75,288,9.75,34.5,,4.95,,31.5,111,7.55,4.46,
2019,Dawson Knox,Mississippi,TE,76,254,9.75,33.5,,9.99,16,34.5,,7.12,4.27,
2019,Tre Lamar,Clemson,LB,75,253,9.5,32.25,,9.99,,,,9.99,9.99,
2019,Dexter Lawrence,Clemson,DT,76,342,10.5,34.75,,5.05,36,,,9.99,9.99,
2019,Justin Layne,Michigan State,CB,74,192,9.25,33,,4.5,,37.5,134,6.9,4.09,
2019,Jonathan Ledbetter,Georgia,DE,76,280,9.88,34.5,,5.14,22,26.5,108,9.99,9.99,
2019,Iman Lewis-Marshall,Southern California,CB,73,207,9.5,30.38,,4.53,16,,,9.99,9.99,
2019,Chris Lindstrom,Boston College,OG,76,308,9.5,34.13,,4.91,25,30.5,117,7.61,4.54,
2019,Drew Lock,Missouri,QB,76,228,9,32.5,,4.69,,31,112,7.03,4.12,
2019,David Long,Michigan,CB,71,196,9.63,30.88,,4.45,15,39.5,120,6.45,3.97,
2019,David Long,West Virginia,LB,71,227,10,30.75,,4.45,15,39.5,120,9.99,9.99,
2019,Jonathan Love,Stanford,RB,69,200,9.13,29.38,,9.99,18,,,9.99,9.99,
2019,Julian Love,Notre Dame,CB,71,195,9,31.75,,4.54,14,36,121,6.72,4.1,
2019,Alize Mack,Notre Dame,TE,76,249,9.38,33.75,,4.7,22,36,120,7.27,4.34,11.93
2019,Daylon Mack,Texas A&M,DT,73,336,10.25,31.25,,5.1,30,27,102,8.02,4.95,
2019,Alexander Mattison,Boise State,RB,71,221,9.13,31,,4.67,22,35,127,7.13,4.29,11.69
2019,Erik McCoy,Texas A&M,C,76,303,9.63,33,,4.89,29,31,107,8.28,4.62,
2019,Connor McGovern,Penn State,OL,77,308,9.88,34.13,,9.99,28,,112,7.66,4.57,
2019,Mark McLaurin,Mississippi State,S,73,212,9.63,31.63,,4.77,12,36,,9.99,4.46,
2019,Trace McSorley,Penn State,QB,72,202,9.13,31,,4.57,,33,115,7.09,4.12,
2019,Christian Miller,Alabama,EDG,75,247,9.75,35.13,,9.99,,38.5,118,9.99,9.99,
2019,Jordan Miller,Washington,CB,73,186,9.63,32.88,,4.49,6,37,125,9.99,9.99,
2019,Shareef Miller,Penn State,EDG,76,254,10.13,33.63,,4.69,16,29.5,,9.99,4.45,
2019,Gardner Minshew,Washington State,QB,73,225,10.13,31.75,,4.97,,33.5,116,7.14,4.45,
2019,David Montgomery,Iowa State,RB,70,222,9.25,31.38,,4.63,15,28.5,121,9.99,9.99,
2019,Jalin Moore,Appalachian State (NC),RB,70,212,9.25,32.38,,9.99,27,,,9.99,9.99,
2019,Foster Moreau,Louisiana State,TE,76,253,9.63,33.5,,4.66,22,36.5,121,7.16,4.11,11.81
2019,Trayvon Mullen,Clemson,CB,73,199,9.13,31,,4.46,,34.5,123,9.99,9.99,
2019,Byron Murphy,Washington,CB,71,190,8.88,30.13,,4.55,14,36.5,120,9.99,9.99,
2019,Kyler Murray,Oklahoma,QB,70,207,9.5,28.5,,9.99,,,,9.99,9.99,
2019,Isaac Nauta,Georgia,TE,75,244,9.38,31.88,,4.91,19,28,,7.45,4.43,12.26
2019,Anthony Nelson,Iowa,DE,79,271,9.88,34.88,,4.82,18,35.5,118,6.95,4.23,
2019,Bobby Okereke,Stanford,LB,73,239,10.13,34.5,,4.58,,33.5,122,7.25,4.26,
2019,Ed Oliver,Houston,DT,74,287,9.25,31.75,,9.99,32,36,120,9.99,9.99,
2019,Josh Oliver,San Jose State,TE,77,249,10.75,33.5,,4.63,22,34,117,7.21,4.47,12.01
2019,Qadree Ollison,Pittsburgh,RB,73,228,9.63,31.5,,4.58,19,29.5,114,7.53,4.31,
2019,Charles Omenihu,Texas,DE,77,280,9.38,36,,4.92,,36.5,115,7.48,4.36,
2019,Iosua Opeta,Weber State (UT),OL,76,301,9.88,33.25,,5.02,39,33,112,8.06,4.94,
2019,Amani Oruwariye,Penn State,CB,74,205,9,31.38,,4.47,17,36.5,120,6.82,4.16,
2019,Javon Patterson,Mississippi,C,75,307,9,32.5,,5.13,27,27.5,98,7.72,4.78,
2019,Jamal Peters,Mississippi State,CB,74,218,9.75,32.38,,4.63,,,,9.99,9.99,
2019,Jachai Polite,Florida,EDG,75,258,9.75,32.63,,4.84,,32,,9.99,9.99,
2019,Tony Pollard,Memphis,RB,72,210,9.5,30,,4.52,13,35,121,9.99,9.99,
2019,Ben Powers,Oklahoma,OG,76,307,9.88,33.75,,9.99,21,,,9.99,9.99,
2019,Germaine Pratt,North Carolina State,LB,74,240,9.13,31.63,,4.57,24,32.5,116,9.99,9.99,
2019,Ryan Pulley,Arkansas,CB,71,209,9.25,32.75,,4.61,11,31,111,9.99,9.99,
2019,Taylor Rapp,Washington,S,72,208,9,30.75,,9.99,17,35,115,6.82,3.99,11.33
2019,Wyatt Ray,Boston College,EDG,75,257,9.38,32.5,,4.83,25,34,118,7.34,4.31,
2019,Dax Raymond,Utah State,TE,77,255,10.25,32.63,,4.73,15,32,109,7.15,4.39,11.87
2019,Sheldrick Redwine,Miami (FL),S,72,196,9.38,31.75,,4.44,,39,130,9.99,4.14,
2019,Dontavius Russell,Auburn,DT,75,319,9.5,32,,5.15,24,,,7.81,4.77,
2019,Brett Rypien,Boise State,QB,74,210,9,30.38,,4.91,,33,116,7.1,4.29,
2019,Drew Sample,Washington,TE,77,255,9.63,33.38,,4.71,,33.5,115,7.15,4.31,11.85
2019,Miles Sanders,Penn State,RB,71,211,9.25,30.63,,4.49,20,36,124,6.89,4.19,
2019,Khalen Saunders,Western Illinois,DT,72,324,9.13,32.25,,5.01,27,30.5,101,7.57,4.62,
2019,Darnell Savage,Maryland,S,71,198,9.13,31,,4.36,11,39.5,126,7.03,4.14,
2019,Jordan Scarlett,Florida,RB,71,208,8.88,30.38,,4.47,21,30,116,7.37,4.63,
2019,LJ Scott,Michigan State,RB,72,227,9.38,32.13,,9.99,21,33,120,7.27,4.34,
2019,Austin Seibert,Oklahoma,K,69,213,8.88,30.38,,9.99,,,,9.99,9.99,
2019,Kendall Sheffield,Ohio State,CB,71,193,9.25,31.5,,9.99,,,,9.99,9.99,
2019,Kyle Shurmur,Vanderbilt,QB,76,230,8.88,32.75,,4.91,,29.5,106,7.51,4.53,
2019,Devin Singletary,Florida Atlantic,RB,67,203,8.5,28.88,,4.66,15,35,117,7.32,4.4,
2019,Chris Slayton,Syracuse,DT,76,307,10.63,33.5,,5.13,28,29,101,9.99,4.73,
2019,Cameron Smith,Southern California,LB,74,238,10.38,32.38,,4.69,15,39,123,9.99,4.23,
2019,Irv Smith,Alabama,TE,74,242,9.5,31.5,,4.63,19,32.5,110,7.32,4.33,12.44
2019,Kaden Smith,Stanford,TE,77,255,9.63,32.25,,4.92,15,32,108,7.08,4.47,
2019,Sutton Smith,Northern Illinois,EDG,72,233,9,30.75,,4.69,25,31.5,118,6.75,4.32,
2019,Benny Snell,Kentucky,RB,70,224,9.38,31,,4.66,16,29.5,119,7.07,4.33,
2019,Jace Sternberger,Texas A&M,TE,76,251,9.75,32.13,,4.75,17,31.5,113,7.19,4.31,12.09
2019,Easton Stick,North Dakota State,QB,73,224,9.25,32.13,,4.62,,33.5,118,6.65,4.05,
2019,Jarrett Stidham,Auburn,QB,74,218,9.13,32,,4.81,,31,110,7.28,4.33,
2019,Montez Sweat,Mississippi State,EDG,78,260,10.5,35.75,,4.41,21,36,125,7,4.29,
2019,Thomas Sweeney,Boston College,TE,76,251,9.75,32.75,,4.83,17,,,9.99,9.99,
2019,Jordan Ta'amu-Perifanos,Mississippi,QB,75,221,9.88,32.25,,4.77,,27.5,109,7.06,4.36,
2019,Trevon Tate,Memphis,OG,74,293,9.63,32.38,,9.99,22,,,9.99,9.99,
2019,Marvell Tell,Southern California,S,74,198,9.75,33.13,,9.99,,42,136,6.63,4.01,
2019,Deionte Thompson,Alabama,S,73,195,9.88,32.13,,9.99,,,,9.99,9.99,
2019,Juan Thornhill,Virginia,S,72,205,8.75,31.13,,4.42,21,44,141,9.99,9.99,
2019,Clayton Thorson,Northwestern,QB,76,222,9.75,31.13,,9.99,,,,9.99,9.99,
2019,Jerry Tillery,Notre Dame,DT,78,295,10.63,34.25,,4.93,23,32,115,7.45,4.33,
2019,Cole Tracy,Louisiana State,K,70,184,9.13,29.75,,9.99,,,,9.99,9.99,
2019,D'Andre Walker,Georgia,EDG,74,251,9.88,34.38,,9.99,,,,9.99,9.99,
2019,Kahale Warring,San Diego State,TE,77,252,9.75,32.75,,4.67,19,36.5,122,7.21,4.25,11.72
2019,Armon Watts,Arkansas,DT,77,300,9.63,33.38,,5.23,,,,9.99,9.99,
2019,Mike Weber,Ohio State,RB,70,211,9.38,29.75,,4.47,22,33.5,,9.99,9.99,
2019,Trevon Wesco,West Virginia,TE,75,267,9.5,34.75,,4.89,24,31,117,7.18,4.38,12.32
2019,Darius West,Kentucky,S,71,208,9.13,31.38,,4.39,19,33.5,113,9.99,9.99,
2019,Dexter Williams,Notre Dame,RB,71,212,9.63,32.25,,4.57,17,36,130,7,4.16,
2019,James Williams,Washington State,RB,69,197,9.25,30.38,,4.58,,36.5,118,7.01,4.25,12.2
2019,Trayveon Williams,Texas A&M,RB,68,206,9.25,30.38,,4.51,19,33,121,7.44,4.44,
2019,Khari Willis,Michigan State,S,71,213,9.5,31,,4.52,22,34.5,118,9.99,9.99,
2019,Caleb Wilson,UCLA,TE,76,240,9.75,33,,4.56,,29,113,7.2,4.4,12.18
2019,Donovan Wilson,Texas A&M,S,72,199,9.75,33.38,,9.99,18,36,127,9.99,9.99,
2019,Andrew Wingard,Wyoming,S,72,209,8.63,30.5,,4.56,9,36.5,121,7.08,4.2,11.69
2019,Chase Winovich,Michigan,EDG,75,256,10,32.75,,4.59,18,30.5,116,6.94,4.11,
2019,Mitch Wishnowsky,Utah,P,74,218,9.25,31.25,,4.63,,32.5,117,9.99,9.99,
2019,Zedrick Woods,Mississippi,S,71,205,9.13,31.63,,4.29,19,34.5,122,7,4.15,
2019,Evan Worthington,Colorado,S,74,212,9.5,32.75,,4.63,17,33.5,121,7.07,4.37,11.88
2019,Oshane Ximines,Old Dominion (VA),EDG,75,253,9.88,33,,4.78,24,34,118,7.13,4.57,
